OBJECTID,COD_SIG,COD_VIA,COD_CICLOVIA,DESIGNACAO,NOME_PROJETO,HIERARQUIA,EIXO,TIPOLOGIA,NIVEL_SEGREGACAO,TIPO_INTERVENCAO,SITUACAO,ANO,ENTIDADE_RESPONSAVEL,FREGUESIA,COMP_M,COMP_KM,IDTIPO,ZONAMENTO,GlobalID,Shape__Length
130277,0000366,100031,0295,Campo Grande,T11 - Telheiras - Campo Grande (Via Cidade Universitária),Complementar,,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2009,CML/DMEVAE,Alvalade,160.18,0.16018177,9196,Campo Grande,b7632693-b77e-4b54-9b72-2ead37dae1f0,205.357896472521
130279,22061,67040,0656,Rua Pinheiro Chagas,Planalto - Rua Pinheiro Chagas,Local,,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2018,CML,Avenidas Novas,11.41,0.0114139,9196,Saldanha,d913b7ca-b97b-469c-9545-191346f8319f,14.6236017641342
130280,18155,5944,0198,Passeio dos Jacarandás,,Local,,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Parque das Nações,97.65,0.09764964,9196,Parque das Nações Norte,3719baeb-e2b6-4f66-8d77-b120957ba1c5,125.603361265075
130284,0000477,100186,0045,Doca do Bom Sucesso,Vela Latina,Local,,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2021,CML/DMM; EMEL,Belém,117.83,0.11782959,9196,Frente Ribeirinha,5c19e84e-07dd-452d-97a8-18a70784ba5c,150.948074052834
130290,0000676,35130,0140,Rua Professor Gomes Teixeira,Bairro de Campo de Ourique - 1ª fase,Local,,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2021,EMEL,Campo de Ourique,209.73,0.20973387,9196,Bairro de Campo de Ourique,afe22d21-ebf9-400e-ab2b-4b3056a9ef35,268.996072136897
130291,0000700,66931,0073,Avenida Almirante Reis,Avenida Almirante Reis - Fase 2,Principal,Baixa - Aeroporto,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2022,CML/DMM; CML/DMMC/DIOA,Areeiro,11.41,0.01140847,9196,,a9a897cd-3bd8-4e96-9226-d5bb59fb2cf3,14.6110672282257
130302,0000215,,0200,Ponte ciclopedonal sobre a 2ª Circular,,Complementar,,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,2017,CML,Lumiar,16.18,0.01618403,9196,,397e3332-8566-4069-b9f3-e70ebc3ce9ec,20.8037209599452
130306,0000204,,0251,Troço da Frente Ribeirinha,T18 - Cais do Sodré - Torre de Belém,Local,,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2009,CML/DMEVAE,Belém,1488.49,1.48849275,9196,Frente Ribeirinha,5cccfd4a-9397-4e0e-91be-c950532c005c,1907.0091952282
130307,19566,67396,0669,Rua Portugal Durão,Rua Portugal Durão,Local,,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2018,CML,Avenidas Novas,37.3,0.03730202,9196,Bairro Santos,260d5dfa-6254-4e4c-a6c6-1d59a0f2968d,47.7965177984828
130309,0000693,66710,0079,Rua José Duro,Rua José Duro,Local,,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2020,CML/DMM; EMEL,Alvalade,140.7,0.14070356,9196,Bairro de Alvalade,1d095705-d70d-490a-821e-c89b331b01df,180.805417039011
